species_pair,phenotype_group,total_genome_pair,positive_genome_pair,transfer_rate,phylogeny,diff
14_1-338_1,IBD,201,0,0,1.7928189159999997,0
14_1-338_1,non-IBD,221,0,0,1.7928189159999997,0
14_1-42_2,IBD,27,0,0,0.8609911590000001,-0.15151515151515152
14_1-42_2,non-IBD,33,5,0.15151515151515152,0.8609911590000001,-0.15151515151515152
14_1-44_3,IBD,42,10,0.23809523809523808,0.8733627469999998,-0.14652014652014655
14_1-44_3,non-IBD,26,10,0.38461538461538464,0.8733627469999998,-0.14652014652014655
14_1-45_1,IBD,219,3,0.0136986301369863,0.9528290599999996,-0.2976221245799948
14_1-45_1,non-IBD,106,33,0.3113207547169811,0.9528290599999996,-0.2976221245799948
14_1-48_2,IBD,60,6,0.1,0.8836744359999997,-0.0875
14_1-48_2,non-IBD,96,18,0.1875,0.8836744359999997,-0.0875
14_1-66_5,IBD,73,0,0,1.6714506109999998,0
14_1-66_5,non-IBD,161,0,0,1.6714506109999998,0
14_1-96_1,IBD,14,0,0,2.301790684,0
14_1-96_1,non-IBD,15,0,0,2.301790684,0
14_1-97_1,IBD,29,0,0,2.333938765,0
14_1-97_1,non-IBD,15,0,0,2.333938765,0
171_1-66_5,IBD,26,0,0,1.98513711,0
171_1-66_5,non-IBD,25,0,0,1.98513711,0
179_1-229_3,IBD,90,0,0,1.1942607229999993,0
179_1-229_3,non-IBD,74,0,0,1.1942607229999993,0
179_1-233_3,IBD,26,0,0,1.1965933599999996,0
179_1-233_3,non-IBD,20,0,0,1.1965933599999996,0
179_1-26_2,IBD,54,0,0,2.199409874,0
179_1-26_2,non-IBD,11,0,0,2.199409874,0
179_1-338_1,IBD,54,0,0,1.63545314,0
179_1-338_1,non-IBD,130,0,0,1.63545314,0
179_1-46_1,IBD,13,0,0,2.044608064,0
179_1-46_1,non-IBD,22,0,0,2.044608064,0
179_1-48_2,IBD,12,0,0,2.106830064,0
179_1-48_2,non-IBD,15,0,0,2.106830064,0
180_1-229_3,IBD,30,0,0,1.206736487999999,0
180_1-229_3,non-IBD,26,0,0,1.206736487999999,0
180_1-238_3,IBD,45,0,0,1.1871801149999994,0
180_1-238_3,non-IBD,63,0,0,1.1871801149999994,0
180_1-335_1,IBD,12,0,0,1.6137631229999998,0
180_1-335_1,non-IBD,74,0,0,1.6137631229999998,0
180_1-338_1,IBD,72,0,0,1.6479289049999994,0
180_1-338_1,non-IBD,41,0,0,1.6479289049999994,0
180_1-45_1,IBD,78,0,0,2.188460453,0
180_1-45_1,non-IBD,18,0,0,2.188460453,0
180_1-48_2,IBD,30,0,0,2.1193058289999995,0
180_1-48_2,non-IBD,18,0,0,2.1193058289999995,0
180_1-66_5,IBD,154,0,0,1.7308080059999995,0
180_1-66_5,non-IBD,74,0,0,1.7308080059999995,0
181_3-229_3,IBD,19,0,0,1.2014751089999995,0
181_3-229_3,non-IBD,95,0,0,1.2014751089999995,0
181_3-335_1,IBD,24,0,0,1.6085017439999996,0
181_3-335_1,non-IBD,211,0,0,1.6085017439999996,0
181_3-338_1,IBD,17,0,0,1.6426675259999997,0
181_3-338_1,non-IBD,99,0,0,1.6426675259999997,0
181_3-45_1,IBD,30,0,0,2.183199074,0
181_3-45_1,non-IBD,21,0,0,2.183199074,0
181_3-66_5,IBD,23,0,0,1.7255466269999995,0
181_3-66_5,non-IBD,70,0,0,1.7255466269999995,0
192_1-335_1,IBD,20,0,0,1.617319461,0
192_1-335_1,non-IBD,33,0,0,1.617319461,0
192_1-338_1,IBD,13,0,0,1.6514852429999995,0
192_1-338_1,non-IBD,96,0,0,1.6514852429999995,0
193_2-45_1,IBD,29,0,0,2.2214150269999995,0
193_2-45_1,non-IBD,276,0,0,2.2214150269999995,0
20_1-226_1,IBD,32,0,0,2.3182823059999995,0
20_1-226_1,non-IBD,11,0,0,2.3182823059999995,0
20_1-26_2,IBD,14,0,0,0.1399771210000002,-0.45454545454545453
20_1-26_2,non-IBD,44,20,0.45454545454545453,0.1399771210000002,-0.45454545454545453
20_1-32_1,IBD,36,28,0.7777777777777778,0.4778416559999998,0.4329501915708812
20_1-32_1,non-IBD,29,10,0.3448275862068966,0.4778416559999998,0.4329501915708812
20_1-334_1,IBD,39,0,0,2.00165453,0
20_1-334_1,non-IBD,12,0,0,2.00165453,0
20_1-335_1,IBD,346,0,0,1.998858033,0
20_1-335_1,non-IBD,709,0,0,1.998858033,0
20_1-338_1,IBD,120,0,0,2.033023815,0
20_1-338_1,non-IBD,402,0,0,2.033023815,0
20_1-39_5,IBD,21,21,1,0.4876162420000001,0.96
20_1-39_5,non-IBD,25,1,0.04,0.4876162420000001,0.96
20_1-45_1,IBD,285,75,0.2631578947368421,0.1653756569999998,0.16219635627530363
20_1-45_1,non-IBD,208,21,0.10096153846153846,0.1653756569999998,0.16219635627530363
20_1-46_1,IBD,14,12,0.8571428571428571,0.4387771649999998,0.6840659340659341
20_1-46_1,non-IBD,52,9,0.17307692307692307,0.4387771649999998,0.6840659340659341
20_1-48_2,IBD,102,42,0.4117647058823529,0.5009991650000001,0.14689984101748804
20_1-48_2,non-IBD,185,49,0.2648648648648649,0.5009991650000001,0.14689984101748804
20_1-66_5,IBD,44,0,0,1.91165551,0
20_1-66_5,non-IBD,368,0,0,1.91165551,0
20_1-9_2,IBD,14,14,1,1.1538092009999996,0.2857142857142857
20_1-9_2,non-IBD,14,10,0.7142857142857143,1.1538092009999996,0.2857142857142857
20_1-97_1,IBD,77,0,0,2.574143664,0
20_1-97_1,non-IBD,37,0,0,2.574143664,0
204_1-335_1,IBD,12,0,0,1.6338713679999992,0
204_1-335_1,non-IBD,75,0,0,1.6338713679999992,0
204_1-66_5,IBD,26,0,0,1.7509162509999996,0
204_1-66_5,non-IBD,183,0,0,1.7509162509999996,0
219_1-331_1,IBD,30,0,0,1.712690181,0
219_1-331_1,non-IBD,15,0,0,1.712690181,0
219_1-335_1,IBD,690,0,0,1.7127893999999997,0
219_1-335_1,non-IBD,164,0,0,1.7127893999999997,0
219_1-338_1,IBD,330,0,0,1.7469551819999996,0
219_1-338_1,non-IBD,116,0,0,1.7469551819999996,0
219_1-66_5,IBD,120,0,0,1.829834283,0
219_1-66_5,non-IBD,33,0,0,1.829834283,0
223_1-335_1,IBD,126,0,0,1.7456674569999997,0
223_1-335_1,non-IBD,584,0,0,1.7456674569999997,0
223_1-338_1,IBD,182,0,0,1.7798332389999996,0
223_1-338_1,non-IBD,301,0,0,1.7798332389999996,0
223_1-66_5,IBD,189,0,0,1.86271234,0
223_1-66_5,non-IBD,253,0,0,1.86271234,0
224_1-335_1,IBD,32,0,0,1.7403169809999997,0
224_1-335_1,non-IBD,126,0,0,1.7403169809999997,0
224_1-338_1,IBD,85,0,0,1.7744827629999995,0
224_1-338_1,non-IBD,36,0,0,1.7744827629999995,0
224_1-45_1,IBD,46,0,0,2.315014310999999,0
224_1-45_1,non-IBD,13,0,0,2.315014310999999,0
224_1-48_2,IBD,14,0,0,2.245859687,0
224_1-48_2,non-IBD,27,0,0,2.245859687,0
224_1-66_5,IBD,99,0,0,1.857361864,0
224_1-66_5,non-IBD,55,0,0,1.857361864,0
226_1-226_2,IBD,22,2,0.09090909090909091,0.0074782500000001,0.09090909090909091
226_1-226_2,non-IBD,28,0,0,0.0074782500000001,0.09090909090909091
226_1-229_3,IBD,39,0,0,0.5045252279999999,0
226_1-229_3,non-IBD,37,0,0,0.5045252279999999,0
226_1-318_56,IBD,17,0,0,1.6019864519999998,0
226_1-318_56,non-IBD,34,0,0,1.6019864519999998,0
226_1-32_1,IBD,72,0,0,2.2150231019999995,0
226_1-32_1,non-IBD,127,0,0,2.2150231019999995,0
226_1-326_1,IBD,202,0,0,1.6516421379999997,0
226_1-326_1,non-IBD,16,0,0,1.6516421379999997,0
226_1-335_1,IBD,230,0,0,1.7326379049999996,-0.0018744142455482662
226_1-335_1,non-IBD,1067,2,0.0018744142455482662,1.7326379049999996,-0.0018744142455482662
226_1-338_1,IBD,179,0,0,1.7668036869999997,0
226_1-338_1,non-IBD,230,0,0,1.7668036869999997,0
226_1-39_5,IBD,42,0,0,2.224797688,0
226_1-39_5,non-IBD,31,0,0,2.224797688,0
226_1-44_3,IBD,18,0,0,2.2278689219999994,0
226_1-44_3,non-IBD,44,0,0,2.2278689219999994,0
226_1-45_1,IBD,108,0,0,2.307335235,0
226_1-45_1,non-IBD,106,0,0,2.307335235,0
226_1-48_2,IBD,62,0,0,2.238180611,-0.06862745098039216
226_1-48_2,non-IBD,204,14,0.06862745098039216,2.238180611,-0.06862745098039216
226_1-66_5,IBD,434,0,0,1.8496827879999995,0
226_1-66_5,non-IBD,472,0,0,1.8496827879999995,0
226_1-96_1,IBD,34,0,0,0.6983334009999997,0
226_1-96_1,non-IBD,15,0,0,0.6983334009999997,0
226_1-97_1,IBD,44,0,0,0.7304814819999996,-0.14285714285714285
226_1-97_1,non-IBD,49,7,0.14285714285714285,0.7304814819999996,-0.14285714285714285
226_2-338_1,IBD,36,0,0,1.7666268889999996,0
226_2-338_1,non-IBD,211,0,0,1.7666268889999996,0
226_2-45_1,IBD,23,0,0,2.307158437,0
226_2-45_1,non-IBD,229,0,0,2.307158437,0
226_2-66_5,IBD,25,0,0,1.8495059899999995,0
226_2-66_5,non-IBD,167,0,0,1.8495059899999995,0
228_1-229_3,IBD,30,0,0,0.2348490529999995,0
228_1-229_3,non-IBD,26,0,0,0.2348490529999995,0
228_1-338_1,IBD,96,44,0.4583333333333333,1.887000186,0.4583333333333333
228_1-338_1,non-IBD,28,0,0,1.887000186,0.4583333333333333
228_1-48_2,IBD,24,1,0.041666666666666664,2.35837711,0.041666666666666664
228_1-48_2,non-IBD,11,0,0,2.35837711,0.041666666666666664
228_1-66_5,IBD,18,0,0,1.969879287,0
228_1-66_5,non-IBD,47,0,0,1.969879287,0
228_2-66_5,IBD,19,0,0,1.967850455,0
228_2-66_5,non-IBD,18,0,0,1.967850455,0
229_3-233_1,IBD,26,0,0,0.2154876549999995,-0.057692307692307696
229_3-233_1,non-IBD,52,3,0.057692307692307696,0.2154876549999995,-0.057692307692307696
229_3-233_3,IBD,144,0,0,0.2167481969999998,-0.013071895424836602
229_3-233_3,non-IBD,153,2,0.013071895424836602,0.2167481969999998,-0.013071895424836602
229_3-26_2,IBD,135,0,0,2.430523427,0
229_3-26_2,non-IBD,205,0,0,2.430523427,0
229_3-318_56,IBD,26,0,0,1.7017494579999994,0
229_3-318_56,non-IBD,294,0,0,1.7017494579999994,0
229_3-32_1,IBD,11,0,0,2.3147861079999994,0
229_3-32_1,non-IBD,118,0,0,2.3147861079999994,0
229_3-326_1,IBD,82,0,0,1.7514051439999996,0
229_3-326_1,non-IBD,121,0,0,1.7514051439999996,0
229_3-330_1,IBD,31,0,0,1.853725593,0
229_3-330_1,non-IBD,52,0,0,1.853725593,0
229_3-334_1,IBD,18,0,0,1.835197408,0
229_3-334_1,non-IBD,305,0,0,1.835197408,0
229_3-335_1,IBD,397,0,0,1.832400911,-0.005302695536897923
229_3-335_1,non-IBD,2263,12,0.005302695536897923,1.832400911,-0.005302695536897923
229_3-338_1,IBD,592,19,0.03209459459459459,1.8665666929999991,0.03209459459459459
229_3-338_1,non-IBD,1509,0,0,1.8665666929999991,0.03209459459459459
229_3-42_2,IBD,122,0,0,2.31526034,0
229_3-42_2,non-IBD,91,0,0,2.31526034,0
229_3-44_1,IBD,76,0,0,2.326921487999999,0
229_3-44_1,non-IBD,70,0,0,2.326921487999999,0
229_3-44_3,IBD,71,0,0,2.327631928,0
229_3-44_3,non-IBD,128,0,0,2.327631928,0
229_3-45_1,IBD,986,0,0,2.407098240999999,0
229_3-45_1,non-IBD,360,0,0,2.407098240999999,0
229_3-46_1,IBD,41,0,0,2.275721616999999,0
229_3-46_1,non-IBD,295,0,0,2.275721616999999,0
229_3-48_2,IBD,131,0,0,2.337943616999999,-0.0018450184501845018
229_3-48_2,non-IBD,542,1,0.0018450184501845018,2.337943616999999,-0.0018450184501845018
229_3-52_1,IBD,13,0,0,2.340019605,0
229_3-52_1,non-IBD,21,0,0,2.340019605,0
229_3-66_5,IBD,271,0,0,1.949445794,0
229_3-66_5,non-IBD,832,0,0,1.949445794,0
229_3-90_1,IBD,30,0,0,0.6380705589999995,0
229_3-90_1,non-IBD,72,0,0,0.6380705589999995,0
229_3-96_1,IBD,59,0,0,0.7980964069999996,0
229_3-96_1,non-IBD,121,0,0,0.7980964069999996,0
229_3-97_1,IBD,28,0,0,0.8302444879999995,0
229_3-97_1,non-IBD,151,0,0,0.8302444879999995,0
233_1-338_1,IBD,69,0,0,1.867638788,0
233_1-338_1,non-IBD,30,0,0,1.867638788,0
233_1-45_1,IBD,70,0,0,2.408170335999999,0
233_1-45_1,non-IBD,11,0,0,2.408170335999999,0
233_1-48_2,IBD,22,0,0,2.339015712,0
233_1-48_2,non-IBD,40,0,0,2.339015712,0
233_1-66_5,IBD,16,0,0,1.950517889,0
233_1-66_5,non-IBD,54,0,0,1.950517889,0
233_3-26_2,IBD,46,0,0,2.432856064,0
233_3-26_2,non-IBD,21,0,0,2.432856064,0
233_3-335_1,IBD,28,0,0,1.834733548,0
233_3-335_1,non-IBD,242,0,0,1.834733548,0
233_3-338_1,IBD,246,48,0.1951219512195122,1.86889933,0.1951219512195122
233_3-338_1,non-IBD,120,0,0,1.86889933,0.1951219512195122
233_3-42_2,IBD,43,0,0,2.317592977,0
233_3-42_2,non-IBD,13,0,0,2.317592977,0
233_3-44_3,IBD,26,0,0,2.329964565,0
233_3-44_3,non-IBD,13,0,0,2.329964565,0
233_3-45_1,IBD,339,0,0,2.409430878,0
233_3-45_1,non-IBD,23,0,0,2.409430878,0
233_3-46_1,IBD,12,0,0,2.278054254,0
233_3-46_1,non-IBD,22,0,0,2.278054254,0
233_3-48_2,IBD,68,1,0.014705882352941176,2.3402762539999995,0.014705882352941176
233_3-48_2,non-IBD,50,0,0,2.3402762539999995,0.014705882352941176
233_3-66_5,IBD,93,0,0,1.951778431,0
233_3-66_5,non-IBD,67,0,0,1.951778431,0
234_1-335_1,IBD,54,0,0,1.8278702609999995,0
234_1-335_1,non-IBD,16,0,0,1.8278702609999995,0
234_2-338_1,IBD,24,0,0,1.858681455,0
234_2-338_1,non-IBD,18,0,0,1.858681455,0
238_3-32_1,IBD,51,0,0,2.295229734999999,0
238_3-32_1,non-IBD,21,0,0,2.295229734999999,0
238_3-336_1,IBD,60,0,0,1.8308330859999995,0
