species_pair,ARG,CAZyme,Virulence
102_2-120_1,0,0,0
102_2-124_1,0,0,0
102_2-125_1,0,0,0
102_2-12_1,0,0,0
102_2-134_1,0,0,0
102_2-13_1,0,0,0
102_2-140_1,0,0,0
102_2-144_1,0,0,0
102_2-14_1,0,0,0
102_2-153_1,0,0,0
102_2-154_1,0,0,0
102_2-171_1,0,0,0
102_2-176_1,0,0,0
102_2-178_2,0,0,0
102_2-193_2,0,0,0
102_2-201_1,0,0,0
102_2-20_1,0,0,0
102_2-223_1,0,0,0
102_2-224_1,0,0,0
102_2-226_1,0,0,0
102_2-226_2,0,0,0
102_2-228_1,0,0,0
102_2-229_3,0,0,0
102_2-234_7,0,0,0
102_2-235_1,0,0,0
102_2-240_1,0,0,0
102_2-252_1,0,0,0
102_2-26_2,0,0,0
102_2-283_1,0,0,0
102_2-290_1,0,0,0
102_2-294_2,0,0,0
102_2-297_1,0,0,0
102_2-309_1,0,0,0
102_2-318_19,0,0,0
102_2-318_2,0,0,0
102_2-318_21,0,0,0
102_2-318_24,0,0,0
102_2-318_36,0,0,0
102_2-318_38,0,0,0
102_2-318_39,0,0,0
102_2-318_54,0,0,0
102_2-318_56,0,0,0
102_2-318_66,0,0,0
102_2-318_75,0,0,0
102_2-325_1,0,0,0
102_2-326_1,0,0,0
102_2-32_1,0,0,0
102_2-330_1,0,0,0
102_2-333_1,0,0,0
102_2-334_1,0,0,0
102_2-334_3,0,0,0
102_2-335_1,0,0,0
102_2-336_1,0,0,0
102_2-338_1,0,0,0
102_2-33_1,0,0,0
102_2-36_1,0,0,0
102_2-37_2,0,0,0
102_2-39_2,0,0,0
102_2-39_3,0,0,0
102_2-39_5,0,0,0
102_2-42_1,0,0,0
102_2-42_2,0,0,0
102_2-43_1,0,0,0
102_2-44_1,0,0,0
102_2-44_3,0,0,0
102_2-44_4,0,0,0
102_2-45_1,0,0,0
102_2-46_1,0,0,0
102_2-47_2,0,0,0
102_2-48_2,0,0,0
102_2-4_1,0,0,0
102_2-50_1,0,0,0
102_2-51_1,0,0,0
102_2-55_1,0,0,0
102_2-62_1,0,0,0
102_2-66_2,0,0,0
102_2-66_5,0,0,0
102_2-69_1,0,0,0
102_2-72_1,0,0,0
102_2-74_1,0,0,0
102_2-8_1,0,0,0
102_2-90_1,0,0,0
102_2-92_1,0,0,0
102_2-96_1,0,0,0
102_2-97_1,0,0,0
102_2-99_2,0,0,0
102_2-9_2,0,0,0
103_1-226_1,0,0,0
103_1-335_1,0,0,0
103_1-42_1,0,0,0
103_1-43_1,0,0,0
103_1-44_3,0,0,0
103_1-45_1,0,0,0
103_1-48_2,0,0,0
103_1-51_1,0,0,0
103_1-66_5,0,0,0
103_1-92_1,0,0,0
103_2-124_1,0,0,0
103_2-144_3,0,0,0
103_2-149_1,0,0,0
103_2-153_1,0,0,0
103_2-179_1,0,0,0
103_2-180_1,0,0,0
103_2-204_1,0,0,0
103_2-20_1,0,0,0
103_2-26_2,0,0,0
103_2-335_1,0,0,0
103_2-338_1,0,0,0
103_2-36_1,0,0,0
103_2-45_1,0,0,0
103_2-46_1,0,0,0
103_2-48_2,0,0,0
103_2-52_1,0,0,0
104_1-10_2,0,0,0
104_1-112_1,0,0,0
104_1-114_2,0,0,0
104_1-119_1,0,0,0
104_1-121_1,0,0,0
104_1-124_1,0,0,0
104_1-125_1,0,0,0
104_1-138_1,0,0,0
104_1-142_1,0,0,0
104_1-14_1,0,0,0
104_1-179_1,0,0,0
104_1-192_1,0,0,0
104_1-192_2,0,0,0
104_1-193_2,0,0,0
104_1-196_1,0,0,0
104_1-201_1,0,0,0
104_1-20_1,0,0,0
104_1-211_1,0,0,0
104_1-219_1,0,0,0
104_1-222_2,0,0,0
104_1-223_1,0,0,0
104_1-224_1,0,0,0
104_1-226_1,0,0,0
104_1-226_2,0,0,0
104_1-228_1,0,0,0
104_1-229_3,0,0,0
104_1-234_2,0,0,0
104_1-238_1,0,0,0
104_1-239_1,0,0,0
104_1-257_1,0,0,0
104_1-269_1,0,0,0
104_1-26_2,0,0,0
104_1-298_1,0,0,0
104_1-308_1,0,0,0
104_1-318_24,0,0,0
104_1-318_54,0,0,0
104_1-318_56,0,0,0
104_1-321_1,0,0,0
104_1-326_1,0,0,0
104_1-32_1,0,0,0
104_1-330_1,0,0,0
104_1-334_1,0,0,0
104_1-334_3,0,0,0
104_1-335_1,0,0,0
104_1-336_1,0,0,0
104_1-338_1,0,0,0
104_1-34_1,0,0,0
104_1-38_1,0,0,0
104_1-39_2,0,0,0
104_1-39_5,0,0,0
104_1-40_1,0,0,0
104_1-42_1,0,0,0
104_1-42_2,0,0,0
104_1-43_1,0,0,0
104_1-44_1,0,0,0
104_1-44_3,0,0,0
104_1-44_5,0,0,0
104_1-45_1,0,0,0
104_1-46_1,0,0,0
104_1-47_2,0,0,0
104_1-48_2,0,0,0
104_1-4_3,0,0,0
104_1-50_1,0,0,0
104_1-51_1,0,0,0
104_1-52_1,0,0,0
104_1-57_1,0,0,0
104_1-66_3,0,0,0
104_1-66_4,0,0,0
104_1-66_5,0,0,0
104_1-74_1,0,0,0
104_1-76_2,0,0,0
104_1-92_1,0,0,0
104_1-96_1,0,0,0
104_1-97_1,0,0,0
104_1-99_2,0,0,0
105_1-125_1,0,0,0
105_1-201_1,0,0,0
105_1-26_2,0,0,0
105_1-326_1,0,0,0
105_1-330_1,0,0,0
105_1-335_1,0,0,0
105_1-338_1,0,0,0
105_1-39_5,0,0,0
105_1-44_1,0,0,0
105_1-44_3,0,0,0
105_1-46_1,0,0,0
105_1-48_2,0,0,0
105_1-50_1,0,0,0
105_1-66_5,0,0,0
105_1-96_1,0,0,0
105_1-97_1,0,0,0
105_1-9_2,0,0,0
106_1-112_1,0,0,0
106_1-226_1,0,0,0
106_1-226_2,0,0,0
106_1-318_28,0,0,0
106_1-318_39,0,0,0
106_1-326_1,0,0,0
106_1-335_1,0,0,0
106_1-338_1,0,0,0
106_1-44_3,0,0,0
106_1-48_2,0,0,0
106_1-51_1,0,0,0
106_1-66_3,0,0,0
106_1-66_5,0,0,0
107_1-109_2,0,0,0
107_1-112_1,0,0,0
107_1-11_1,0,0,0
107_1-120_1,0,0,0
107_1-125_1,0,0,0
107_1-142_1,0,0,0
107_1-14_1,0,0,0
107_1-171_1,0,0,0
107_1-179_1,0,0,0
107_1-180_1,0,0,0
107_1-223_1,0,0,0
107_1-226_1,0,0,0
107_1-228_2,0,0,0
107_1-229_2,0,0,0
107_1-229_3,0,0,0
107_1-233_3,0,0,0
107_1-240_1,0,0,0
107_1-26_2,0,0,0
107_1-294_2,0,0,0
107_1-298_1,0,0,0
107_1-300_1,0,0,0
107_1-318_26,0,0,0
107_1-318_56,0,0,0
107_1-318_81,0,0,0
107_1-326_1,0,0,0
107_1-32_1,0,0,0
107_1-330_1,0,0,0
107_1-334_1,0,0,0
107_1-334_3,0,0,0
107_1-335_1,0,0,0
107_1-338_1,0,0,0
107_1-37_1,0,0,0
107_1-38_1,0,0,0
107_1-39_5,0,0,0
107_1-42_1,0,0,0
107_1-42_2,0,0,0
107_1-44_3,0,0,0
107_1-45_1,0,0,0
107_1-46_1,0,0,0
107_1-48_2,0,0,0
107_1-4_2,0,0,0
107_1-4_3,0,0,0
107_1-66_3,0,0,0
107_1-66_5,0,0,0
107_1-90_1,0,0,0
107_1-97_1,0,0,0
109_1-10_1,0,0,0
109_1-10_2,0,0,0
109_1-193_2,0,0,0
109_1-19_1,0,0,0
109_1-20_1,0,0,0
109_1-224_1,0,0,0
109_1-226_1,0,0,0
109_1-226_2,0,0,0
109_1-228_1,0,0,0
109_1-229_3,0,0,0
109_1-230_1,0,0,0
109_1-233_3,0,0,0
109_1-252_1,0,0,0
109_1-263_1,0,0,0
109_1-265_1,0,0,0
109_1-267_1,0,0,0
109_1-26_2,0,0,0
109_1-26_3,0,0,0
109_1-309_1,0,0,0
109_1-318_54,0,0,0
109_1-318_56,0,0,0
109_1-325_1,0,0,0
109_1-326_1,0,0,0
109_1-32_1,0,0,0
109_1-334_1,0,0,0
109_1-335_1,0,0,0
109_1-338_1,0,0,0
109_1-39_5,0,0,0
109_1-42_2,0,0,0
109_1-43_1,0,0,0
109_1-44_3,0,0,0
109_1-45_1,0,0,0
109_1-46_1,0,0,0
109_1-48_2,0,0,0
109_1-4_3,0,0,0
109_1-66_5,0,0,0
109_2-125_1,0,0,0
109_2-223_1,0,0,0
109_2-226_1,0,0,0
109_2-228_2,0,0,0
109_2-229_3,0,0,0
109_2-240_1,0,0,0
109_2-318_26,0,0,0
109_2-318_56,0,0,0
109_2-330_1,0,0,0
109_2-334_1,0,0,0
109_2-334_3,0,0,0
109_2-335_1,0,0,0
109_2-338_1,0,0,0
109_2-66_3,0,0,0
109_2-66_5,0,0,0
109_2-97_1,0,0,0
10_1-119_1,0,0,0
10_1-11_1,0,0,0
10_1-14_1,0,0,0
10_1-20_1,0,0,0
10_1-219_1,0,0,0
10_1-224_1,0,0,0
10_1-226_1,0,0,0
10_1-229_3,0,0,0
10_1-252_1,0,0,0
10_1-26_3,0,0,0
10_1-318_54,0,0,0
10_1-318_56,0,0,0
10_1-325_1,0,0,0
10_1-326_1,0,0,0
10_1-32_1,0,0,0
10_1-331_1,0,0,0
10_1-334_1,0,0,0
10_1-335_1,0,0,0
10_1-338_1,0,0,0
10_1-33_1,0,0,0
10_1-39_5,0,0,0
10_1-44_1,0,0,0
10_1-45_1,0,0,0
10_1-46_1,0,0,0
10_1-48_2,0,0,0
10_1-66_2,0,0,0
10_1-66_5,0,0,0
10_1-76_2,0,0,0
10_1-90_1,0,0,0
10_1-96_1,0,0,0
10_2-112_1,0,0,0
10_2-114_1,0,0,0
10_2-114_2,0,0,0
10_2-119_1,0,0,0
10_2-11_1,0,0,0
10_2-120_1,0,0,0
10_2-122_1,0,0,0
10_2-123_0,0,0,0
10_2-124_1,0,0,0
10_2-125_1,0,0,0
10_2-13_1,0,0,0
10_2-144_1,0,0,0
10_2-145_2,0,0,0
10_2-149_1,0,0,0
10_2-14_1,0,0,0
10_2-150_1,0,0,0
10_2-152_1,0,0,0
10_2-153_2,0,0,0
10_2-154_1,0,0,0
10_2-178_1,0,0,0
10_2-178_2,0,0,0
10_2-179_1,0,0,0
10_2-180_1,0,0,0
10_2-181_3,0,0,0
10_2-187_1,0,0,0
10_2-192_1,0,0,0
10_2-193_1,0,0,0
10_2-193_2,0,0,0
10_2-196_1,0,0,0
10_2-19_1,0,0,0
10_2-201_1,0,0,0
10_2-203_1,0,0,0
10_2-204_1,0,0,0
10_2-20_1,0,0,0
10_2-217_1,0,0,0
10_2-219_1,0,0,0
10_2-221_1,0,0,0
10_2-223_1,0,0,0
10_2-224_1,0,0,0
10_2-226_1,0,0,0
10_2-226_2,0,0,0
10_2-228_1,0,0,0
10_2-228_2,0,0,0
10_2-229_2,0,0,0
10_2-229_3,0,0,0
10_2-233_1,0,0,0
10_2-233_2,0,0,0
10_2-233_3,0,0,0
10_2-234_4,0,0,0
10_2-238_3,0,0,0
10_2-240_1,0,0,0
10_2-246_1,0,0,0
10_2-24_3,0,0,0
10_2-250_1,0,0,0
10_2-257_1,0,0,0
10_2-258_1,0,0,0
10_2-263_1,0,0,0
10_2-268_1,0,0,0
10_2-269_1,0,0,0
10_2-26_2,1,0,0
10_2-26_3,1,0,0
10_2-283_1,0,0,0
10_2-286_1,0,0,0
10_2-294_2,0,0,0
10_2-297_1,0,0,0
10_2-298_1,0,0,0
10_2-300_1,0,0,0
10_2-308_1,0,0,0
10_2-309_1,0,0,0
10_2-30_1,0,0,0
10_2-318_17,0,0,0
10_2-318_2,0,0,0
10_2-318_21,0,0,0
10_2-318_24,0,0,0
10_2-318_29,0,0,0
10_2-318_38,0,0,0
10_2-318_39,0,0,0
10_2-318_40,0,0,0
10_2-318_42,0,0,0
10_2-318_44,0,0,0
10_2-318_52,0,0,0
10_2-318_54,0,0,0
10_2-318_56,0,0,0
10_2-318_57,0,0,0
10_2-318_77,0,0,0
10_2-318_78,0,0,0
10_2-318_8,0,0,0
10_2-318_80,0,0,0
10_2-319_1,0,0,0
10_2-31_2,0,0,0
10_2-326_1,0,0,0
10_2-327_1,0,0,0
10_2-32_1,1,0,0
10_2-330_1,0,0,0
10_2-332_1,0,0,0
10_2-333_1,0,0,0
10_2-334_1,0,0,0
10_2-334_2,0,0,0
10_2-334_3,0,0,0
10_2-335_1,0,0,0
10_2-336_1,0,0,0
10_2-338_1,0,0,0
10_2-36_1,1,0,0
10_2-37_1,1,0,0
10_2-39_1,1,0,0
10_2-39_2,1,0,0
10_2-39_5,1,0,0
10_2-40_1,0,0,0
10_2-41_1,0,0,0
10_2-42_2,1,1,0
10_2-43_1,1,1,1
10_2-44_1,1,1,0
10_2-44_3,1,1,0
10_2-44_5,1,0,0
10_2-45_1,1,1,1
10_2-46_1,1,0,0
10_2-47_1,0,0,0
10_2-47_2,0,0,0
10_2-48_2,1,1,1
10_2-4_3,0,0,0
10_2-50_1,0,0,0
10_2-51_1,0,0,0
10_2-52_1,0,0,0
10_2-62_1,0,0,0
10_2-66_4,0,0,0
10_2-66_5,0,0,0
10_2-69_1,0,0,0
10_2-69_2,0,0,0
10_2-69_3,0,0,0
10_2-70_1,0,0,0
10_2-76_2,0,0,0
10_2-78_1,0,0,0
10_2-87_1,0,0,0
10_2-90_1,0,0,0
10_2-91_1,0,0,0
10_2-92_1,0,0,0
10_2-94_1,0,0,0
10_2-96_1,0,0,0
10_2-97_1,0,0,0
10_2-99_2,0,0,0
10_2-9_2,1,1,1
111_1-112_1,0,0,0
111_1-179_1,0,0,0
111_1-181_3,0,0,0
111_1-229_3,0,0,0
111_1-233_3,0,0,0
111_1-239_1,0,0,0
111_1-26_2,0,0,0
111_1-318_56,0,0,0
111_1-326_1,0,0,0
111_1-32_1,0,0,0
111_1-330_1,0,0,0
111_1-335_1,0,0,0
111_1-338_1,0,0,0
111_1-39_5,0,0,0
111_1-42_2,0,0,0
111_1-43_1,0,0,0
111_1-44_1,0,0,0
111_1-44_3,0,0,0
111_1-45_1,0,0,0
111_1-46_1,0,0,0
111_1-48_2,0,0,0
111_1-66_5,0,0,0
111_1-96_1,0,0,0
111_1-97_1,0,0,0
111_1-9_2,0,0,0
112_1-113_1,0,0,0
112_1-114_1,0,0,0
112_1-114_2,0,0,0
112_1-116_1,0,0,0
112_1-118_1,0,0,0
112_1-119_1,0,0,0
112_1-11_1,0,0,0
112_1-120_1,0,0,0
112_1-124_1,0,0,0
112_1-125_1,0,0,0
112_1-12_1,0,0,0
112_1-134_1,0,0,0
112_1-138_1,0,0,0
112_1-13_1,0,0,0
112_1-140_1,0,0,0
112_1-142_1,0,0,0
112_1-142_2,0,0,0
112_1-144_1,0,0,0
112_1-144_2,0,0,0
112_1-145_1,0,0,0
112_1-147_1,0,0,0
112_1-149_1,0,0,0
112_1-14_1,0,0,0
112_1-150_1,0,0,0
112_1-152_1,0,0,0
112_1-153_1,0,0,0
112_1-153_2,0,0,0
112_1-171_1,0,0,0
112_1-175_1,0,0,0
112_1-176_2,0,0,0
112_1-178_1,0,0,0
112_1-179_1,0,0,0
112_1-180_1,0,0,0
112_1-181_3,0,0,0
112_1-186_1,0,0,0
112_1-187_1,0,0,0
112_1-192_1,0,0,0
112_1-193_2,0,0,0
112_1-196_1,0,0,0
112_1-200_1,0,0,0
112_1-201_1,0,0,0
112_1-203_1,0,0,0
112_1-204_1,0,0,0
112_1-208_1,0,0,0
112_1-209_1,0,0,0
112_1-20_1,0,0,0
112_1-210_1,0,0,0
112_1-217_1,0,0,0
112_1-219_1,0,0,0
112_1-223_1,0,0,0
112_1-224_1,0,0,0
112_1-226_1,0,0,0
112_1-226_2,0,0,0
112_1-228_1,0,0,0
112_1-228_2,0,0,0
112_1-229_1,0,0,0
112_1-229_2,0,0,0
112_1-229_3,0,0,0
112_1-230_1,0,0,0
112_1-233_1,0,0,0
112_1-233_2,0,0,0
112_1-233_3,0,0,0
112_1-234_4,0,0,0
112_1-238_3,0,0,0
112_1-239_1,0,0,0
112_1-240_1,0,0,0
112_1-241_1,0,0,0
112_1-246_1,0,0,0
112_1-24_3,0,0,0
112_1-256_1,0,0,0
112_1-257_1,0,0,0
112_1-265_1,0,0,0
112_1-266_1,0,0,0
112_1-267_1,0,0,0
112_1-268_1,0,0,0
112_1-269_1,0,0,0
112_1-26_2,0,0,0
112_1-26_3,0,0,0
112_1-283_1,0,0,0
112_1-290_1,0,0,0
112_1-294_2,0,0,0
112_1-297_1,0,0,0
112_1-298_1,0,0,0
112_1-29_1,0,0,0
112_1-300_1,0,0,0
112_1-308_1,0,0,0
112_1-309_1,0,0,0
112_1-312_1,0,0,0
112_1-317_1,0,0,0
112_1-318_10,0,0,0
112_1-318_11,0,0,0
112_1-318_13,0,0,0
112_1-318_15,0,0,0
112_1-318_16,0,0,0
112_1-318_19,0,0,0
112_1-318_21,0,0,0
112_1-318_24,0,0,0
112_1-318_28,0,0,0
112_1-318_29,0,0,0
112_1-318_37,0,0,0
112_1-318_38,0,0,0
112_1-318_39,0,0,0
112_1-318_40,0,0,0
112_1-318_54,0,0,0
112_1-318_56,0,0,0
112_1-318_60,0,0,0
112_1-318_72,0,0,0
112_1-318_74,0,0,0
112_1-318_75,0,0,0
112_1-318_77,0,0,0
112_1-318_78,0,0,0
112_1-318_80,0,0,0
112_1-318_81,0,0,0
112_1-324_1,0,0,0
112_1-325_1,0,0,0
112_1-326_1,0,0,0
112_1-327_1,0,0,0
112_1-32_1,0,0,0
112_1-330_1,0,0,0
112_1-332_1,0,0,0
112_1-333_1,0,0,0
112_1-334_1,0,0,0
112_1-334_3,0,0,0
112_1-335_1,0,0,0
112_1-336_1,0,0,0
112_1-338_1,0,0,0
112_1-33_1,0,0,0
112_1-34_1,0,0,0
112_1-36_1,0,0,0
112_1-37_1,0,0,0
112_1-39_1,0,0,0
112_1-39_2,0,0,0
112_1-39_3,0,0,0
112_1-39_5,0,0,0
112_1-40_1,0,0,0
112_1-41_1,0,0,0
112_1-42_1,0,0,0
112_1-42_2,0,0,0
112_1-43_1,0,0,0
112_1-44_1,0,0,0
112_1-44_3,0,0,0
112_1-44_4,0,0,0
112_1-44_5,0,0,0
112_1-45_1,0,0,0
112_1-46_1,0,0,0
112_1-47_2,0,0,0
112_1-48_2,0,0,0
112_1-4_1,0,0,0
112_1-4_2,0,0,0
112_1-50_1,0,0,0
112_1-51_1,0,0,0
112_1-52_1,0,0,0
112_1-54_1,0,0,0
112_1-55_1,0,0,0
112_1-62_1,0,0,0
112_1-66_3,0,0,0
112_1-66_4,0,0,0
112_1-66_5,0,0,0
112_1-68_1,0,0,0
112_1-69_3,0,0,0
112_1-72_1,0,0,0
112_1-74_1,0,0,0
112_1-76_1,0,0,0
112_1-76_2,0,0,0
112_1-76_3,0,0,0
112_1-77_1,0,0,0
112_1-77_2,0,0,0
112_1-78_2,0,0,0
112_1-78_3,0,0,0
112_1-8_1,0,0,0
112_1-90_1,0,1,0
112_1-92_1,0,0,0
112_1-96_1,0,0,0
112_1-97_1,0,0,0
112_1-9_2,0,0,0
113_1-116_1,0,0,0
113_1-119_1,0,0,0
113_1-11_1,0,0,0
113_1-120_1,0,0,0
113_1-12_1,0,0,0
113_1-140_1,0,0,0
113_1-147_1,0,0,0
113_1-152_1,0,0,0
113_1-20_1,0,0,0
113_1-211_1,0,0,0
113_1-225_1,0,0,0
113_1-226_1,0,0,0
